TEAM;NAME;ROLE;BIRTH;HEIGHT;NATIONALITY 
Savino Del Bene Scandicci;CECCONELLO AGNESE;CENTRALE;1999;190;ITA 
Savino Del Bene Scandicci;SAMADAN MARTINA;CENTRALE;1993;193;CRO 
Savino Del Bene Scandicci;DREWNIOK KIMBERLY;OPPOSTO;1997;188;GER 
Savino Del Bene Scandicci;BOSETTI LUCIA;SCHIACCIATRICE;1989;175;ITA 
Savino Del Bene Scandicci;COURTNEY MEGAN;SCHIACCIATRICE;1993;185;USA 
Savino Del Bene Scandicci;CAMERA LETIZIA;PALLEGGIATRICE;1992;175;ITA 
Unet E-Work Busto Arsizio;POULTER JORDYN;PALLEGGIATRICE;1997;188;USA 
Unet E-Work Busto Arsizio;OLIVOTTO ROSSELLA;CENTRALE;1991;184;ITA 
Unet E-Work Busto Arsizio;GENNARI ALESSIA;SCHIACCIATRICE;1991;184;ITA 
Unet E-Work Busto Arsizio;BONELLI ASIA;PALLEGGIATRICE;2000;181;ITA 
Unet E-Work Busto Arsizio;GRAY ALEXA;SCHIACCIATRICE;1994;185;CAN 
Unet E-Work Busto Arsizio;LEONARDI GIULIA;LIBERO;1987;165;ITA 
Unet E-Work Busto Arsizio;MINGARDI CAMILLA;OPPOSTO;1997;186;ITA 
Unet E-Work Busto Arsizio;PICCININI FRANCESCA;SCHIACCIATRICE;1979;185;ITA 
Unet E-Work Busto Arsizio;CUCCO CHIARA;LIBERO;2002;168;ITA 
Unet E-Work Busto Arsizio;STEVANOVIC JOVANA;CENTRALE;1992;191;SRB 
Unet E-Work Busto Arsizio;ESCAMILLA ANA;SCHIACCIATRICE;1998;184;ESP 
Unet E-Work Busto Arsizio;BULOVIC KATARINA;SCHIACCIATRICE;2002;188;SRB 
Unet E-Work Busto Arsizio;HERRERA BLANCO LISET;CENTRALE;1998;192;CUB 
Vbc Èpiù Casalmaggiore;STUFI FEDERICA;CENTRALE;1988;185;ITA 
Vbc Èpiù Casalmaggiore;LLOYD CARLI;PALLEGGIATRICE;1989;180;USA 
Vbc Èpiù Casalmaggiore;PARTENIO LAURA;SCHIACCIATRICE;1991;182;ITA 
Vbc Èpiù Casalmaggiore;SIRRESSI IMMA;LIBERO;1990;175;ITA 
Vbc Èpiù Casalmaggiore;BONCIANI FRANCESCA;PALLEGGIATRICE;1992;178;ITA 
Vbc Èpiù Casalmaggiore;MONTIBELLER ROSAMARIA;OPPOSTO;1994;186;BRA 
